Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawLeft,JawRight,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
00:00:00:00,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.248500,0.000000,0.083800,0.072900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000700,0.000700,0.000100,0.000000,0.000200,0.000000,0.000000,0.000000,0.034800,0.034800,0.000100,0.000100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:01,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243050,0.000000,0.084200,0.073463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000706,0.000706,0.000335,0.000003,0.000605,0.000000,0.000003,0.000003,0.034700,0.034700,0.000420,0.000420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:02,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.237600,0.000000,0.084600,0.074025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000712,0.000712,0.000570,0.000006,0.001010,0.000000,0.000006,0.000006,0.034600,0.034600,0.000740,0.000740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:03,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250550,0.000000,0.085000,0.074588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000718,0.000718,0.000805,0.000009,0.001415,0.000000,0.000009,0.000009,0.037600,0.037600,0.001060,0.001060,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:04,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.263500,0.000000,0.085400,0.075150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000724,0.000724,0.001040,0.000012,0.001820,0.000000,0.000012,0.000012,0.040600,0.040600,0.001380,0.001380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000880,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:05,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.297600,0.000000,0.085800,0.075713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000729,0.000729,0.001275,0.000015,0.002225,0.000000,0.000015,0.000015,0.051500,0.051500,0.001700,0.001700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:06,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.331700,0.000000,0.086200,0.076275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000735,0.000735,0.001510,0.000018,0.002630,0.000000,0.000018,0.000018,0.062400,0.062400,0.002020,0.002020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:07,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.345400,0.000000,0.086600,0.076838,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000741,0.000741,0.001745,0.000021,0.003035,0.000000,0.000021,0.000021,0.069900,0.069900,0.002340,0.002340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:08,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.359100,0.000000,0.087000,0.077400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000747,0.000747,0.001980,0.000024,0.003440,0.000000,0.000024,0.000024,0.077400,0.077400,0.002660,0.002660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001760,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:09,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.379350,0.000000,0.103725,0.092075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000753,0.000753,0.002215,0.000026,0.003845,0.000000,0.000026,0.000026,0.073650,0.073650,0.002980,0.002980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:10,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.399600,0.000000,0.120450,0.106750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000759,0.000759,0.002450,0.000029,0.004250,0.000000,0.000029,0.000029,0.069900,0.069900,0.003300,0.003300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:11,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.422200,0.000000,0.137175,0.121425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000765,0.000765,0.002685,0.000032,0.004655,0.000000,0.000032,0.000032,0.066150,0.066150,0.004800,0.004800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005150,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:12,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.444800,0.000000,0.153900,0.136100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000771,0.000771,0.002920,0.000035,0.005060,0.000000,0.000035,0.000035,0.062400,0.062400,0.006300,0.006300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
00:00:00:13,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.447250,0.000000,0.170625,0.150775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000500,0.000500,0.000776,0.000776,0.003155,0.000038,0.005465,0.000000,0.000038,0.000038,0.060350,0.060350,0.007800,0.007800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
